order_id,sale_date,sale_time,product_name,category,unit_price,quantity,discount_pct,discount_amount,total_amount,city,sales_channel,payment_method,status,sales_rep_id
A65596D3-598,2025-12-31,10:16:59,Áo thun nam Uniqlo,Clothing,525892,4,0,0,2103568,Hải Phòng,Reseller,COD,Cancelled,REP009
B226B31F-92A,2026-05-11,12:25:03,Laptop Dell XPS 15,Electronics,25669695,5,5,6417423,121931052,Huế,In-Store,COD,Completed,REP011
03942B06-6AB,2026-03-04,02:18:45,Bàn làm việc gỗ,Furniture,2407657,2,0,0,4815314,Hải Phòng,In-Store,COD,Completed,REP007
86AC6A7A-055,2026-06-09,11:33:20,Samsung Galaxy S24,Electronics,20667557,5,0,0,103337785,Huế,Mobile App,Bank Transfer,Completed,REP002
89B28115-814,2025-11-02,04:47:04,Mỹ phẩm Innisfree,Beauty,307992,1,0,0,307992,Huế,In-Store,E-Wallet,Completed,REP018
BCFD3B19-E29,2025-12-02,17:09:12,Tai nghe Sony WH-1000XM5,Electronics,9665005,2,5,966500,18363510,Biên Hòa,In-Store,Cash,Completed,REP004
618162B4-694,2025-08-05,16:57:58,Áo thun nam Uniqlo,Clothing,520745,5,15,390558,2213167,TP. Hồ Chí Minh,In-Store,Credit Card,Completed,REP019
6AA1B490-D7F,2026-04-23,19:56:18,Ghế văn phòng ergonomic,Furniture,4870852,4,20,3896681,15586727,Hải Phòng,In-Store,COD,Pending,REP005
DF898D50-F58,2025-12-11,00:10:22,Váy nữ form A,Clothing,649417,3,10,194825,1753426,Đà Nẵng,Reseller,Credit Card,Completed,REP020
E602052F-672,2026-05-29,01:24:12,Máy giặt Samsung 9kg,Appliances,10574189,4,0,0,42296756,Hà Nội,In-Store,Credit Card,Cancelled,REP012
510BDBDE-DCF,2025-10-02,01:56:17,Samsung Galaxy S24,Electronics,23541996,4,0,0,94167984,Đà Nẵng,Mobile App,COD,Completed,REP012
0C090AD2-B6A,2026-04-23,13:07:45,Tủ lạnh LG 300L,Appliances,10697068,3,5,1604560,30486644,Nha Trang,Online,E-Wallet,Completed,REP007
F14B6D67-6D6,2025-09-26,05:35:52,Laptop Dell XPS 15,Electronics,34093696,4,0,0,136374784,Hải Phòng,Online,Credit Card,Completed,REP016
91CA6643-133,2025-10-22,13:57:37,iPhone 15 Pro,Electronics,28464630,2,10,5692926,51236334,Đà Nẵng,Mobile App,COD,Completed,REP014
F3A01C84-F6E,2026-03-04,02:24:50,Bàn làm việc gỗ,Furniture,2934234,4,0,0,11736936,Cần Thơ,Reseller,Cash,Completed,REP006
0FF0F66F-30B,2026-06-23,06:55:13,Giày Nike Air Max,Footwear,2584077,4,10,1033630,9302678,Quy Nhơn,Mobile App,Cash,Pending,REP009
8AF147CF-4E7,2026-02-18,11:48:46,Tủ lạnh LG 300L,Appliances,9895265,2,0,0,19790530,Đà Nẵng,Online,Cash,Completed,REP006
53B0D4AD-CDF,2026-02-20,13:52:53,Giày Nike Air Max,Footwear,3047983,4,0,0,12191932,Đà Nẵng,Reseller,Bank Transfer,Cancelled,REP008
E99A7F0E-AB2,2026-02-26,13:24:37,Sách kinh doanh khởi nghiệp,Books,180029,3,0,0,540087,TP. Hồ Chí Minh,Mobile App,COD,Completed,REP014
71EA6449-FFE,2025-10-30,05:07:39,Sách kinh doanh khởi nghiệp,Books,199658,1,20,39931,159727,Hải Phòng,Reseller,Credit Card,Completed,REP001
C0B2EEC9-41F,2025-07-30,14:07:56,Váy nữ form A,Clothing,764414,1,20,152882,611532,TP. Hồ Chí Minh,Reseller,Cash,Pending,REP011
83CB5291-8F0,2026-03-03,23:39:53,Bàn làm việc gỗ,Furniture,2341863,2,0,0,4683726,Vũng Tàu,Mobile App,COD,Completed,REP008
B31086B3-CA3,2026-05-14,08:23:38,Mỹ phẩm Innisfree,Beauty,327015,5,0,0,1635075,Cần Thơ,In-Store,Bank Transfer,Completed,REP002
DB4A5B99-52E,2025-10-26,03:38:04,Laptop Dell XPS 15,Electronics,36467616,4,0,0,145870464,Quy Nhơn,Reseller,COD,Pending,REP013
E752E82A-88C,2025-10-12,21:16:05,Giày Adidas Ultraboost,Footwear,3423266,3,0,0,10269798,Huế,Online,E-Wallet,Completed,REP008
F7CB9BAE-497,2025-09-16,05:42:34,Sách lập trình Python,Books,275861,1,5,13793,262068,Đà Nẵng,In-Store,Bank Transfer,Completed,REP013
2000EAF1-511,2025-08-07,11:13:16,iPhone 15 Pro,Electronics,32310596,3,5,4846589,92085199,TP. Hồ Chí Minh,Reseller,E-Wallet,Cancelled,REP004
E52DBE07-CC4,2026-01-08,20:47:54,Sách lập trình Python,Books,262130,5,0,0,1310650,Nha Trang,Online,Credit Card,Completed,REP003
AC1484EE-A41,2026-03-26,11:23:09,Sách kinh doanh khởi nghiệp,Books,160000,5,15,120000,680000,Biên Hòa,Mobile App,E-Wallet,Pending,REP002
A89A986B-59E,2025-10-03,09:06:36,iPhone 15 Pro,Electronics,32265634,5,10,16132817,145195353,Quy Nhơn,Mobile App,Credit Card,Cancelled,REP019
042570DD-553,2025-08-04,05:49:31,Sách kinh doanh khởi nghiệp,Books,185129,4,0,0,740516,Đà Nẵng,Online,Bank Transfer,Cancelled,REP010
6A706D8C-01C,2026-01-28,07:29:06,Ghế văn phòng ergonomic,Furniture,3842304,3,15,1729036,9797876,Đà Nẵng,Mobile App,Credit Card,Completed,REP002
4FE6EFAC-F41,2026-02-08,16:35:53,Laptop Dell XPS 15,Electronics,37785153,4,0,0,151140612,Hải Phòng,In-Store,Bank Transfer,Cancelled,REP015
