order_id,sale_date,sale_time,product_name,category,unit_price,quantity,discount_pct,discount_amount,total_amount,city,sales_channel,payment_method,status,sales_rep_id
38F6F918-4EF,2025-07-24,05:01:13,Áo thun nam Uniqlo,Clothing,386581,1,0,0,386581,Cần Thơ,Mobile App,COD,Completed,REP004
38E972FC-A37,2025-07-30,22:38:37,Bàn làm việc gỗ,Furniture,2995613,4,5,599122,11383330,TP. Hồ Chí Minh,Online,Bank Transfer,Completed,REP007
E62B824B-BFB,2025-12-10,10:46:44,Samsung Galaxy S24,Electronics,18306619,2,0,0,36613238,Biên Hòa,In-Store,E-Wallet,Cancelled,REP018
3CEE2027-4F4,2026-03-07,11:17:05,Máy giặt Samsung 9kg,Appliances,11496507,4,10,4598602,41387426,Hà Nội,Mobile App,E-Wallet,Cancelled,REP014
1ADBFC6C-521,2026-06-02,09:02:12,Tai nghe Sony WH-1000XM5,Electronics,7963009,3,0,0,23889027,Quy Nhơn,Reseller,Bank Transfer,Completed,REP014
78297B7C-F1F,2026-01-09,21:45:12,Váy nữ form A,Clothing,773476,2,0,0,1546952,Biên Hòa,In-Store,COD,Completed,REP019
693091CB-E61,2025-10-26,06:03:52,Giày Nike Air Max,Footwear,2739651,1,20,547930,2191721,Huế,In-Store,E-Wallet,Completed,REP008
997A0497-9DF,2026-02-02,16:16:34,Giày Adidas Ultraboost,Footwear,3980489,2,15,1194146,6766832,TP. Hồ Chí Minh,Online,COD,Completed,REP009
32F71D47-735,2026-04-30,22:45:31,Áo thun nam Uniqlo,Clothing,366394,3,0,0,1099182,Đà Nẵng,Reseller,Bank Transfer,Cancelled,REP016
444630AF-5A6,2026-04-13,21:30:28,Sách lập trình Python,Books,219542,3,5,32931,625695,Huế,Reseller,Credit Card,Completed,REP011
612E07FE-ACE,2025-07-26,16:44:02,iPhone 15 Pro,Electronics,26427917,4,0,0,105711668,Đà Nẵng,Reseller,Credit Card,Cancelled,REP017
5E78AEBB-3E1,2026-04-04,05:30:03,Váy nữ form A,Clothing,554859,2,15,166457,943261,Cần Thơ,Online,Cash,Completed,REP018
FC01C251-32C,2025-09-15,07:27:06,Giày Adidas Ultraboost,Footwear,4491664,1,0,0,4491664,Hải Phòng,Reseller,Cash,Completed,REP013
84E9A09F-9B0,2026-04-21,03:00:15,Sách kinh doanh khởi nghiệp,Books,208780,5,0,0,1043900,Cần Thơ,Online,COD,Completed,REP018
B62AEFBE-F19,2025-12-11,20:20:50,Giày Nike Air Max,Footwear,2638744,2,0,0,5277488,Đà Nẵng,Online,E-Wallet,Pending,REP014
51090269-104,2025-09-05,21:08:34,Mỹ phẩm Innisfree,Beauty,299378,4,0,0,1197512,Đà Nẵng,In-Store,E-Wallet,Completed,REP012
5A073481-53E,2026-05-31,09:16:27,Ghế văn phòng ergonomic,Furniture,4720200,1,0,0,4720200,Đà Nẵng,Reseller,E-Wallet,Completed,REP007
0BD2E168-AF2,2025-08-09,17:07:41,Tủ lạnh LG 300L,Appliances,12352200,5,10,6176100,55584900,Vũng Tàu,In-Store,Credit Card,Completed,REP008
060104B7-BDE,2026-02-28,19:45:25,Tai nghe Sony WH-1000XM5,Electronics,6898912,1,20,1379782,5519130,Hà Nội,Reseller,Credit Card,Cancelled,REP018
A893D5BB-907,2025-11-12,05:21:13,Samsung Galaxy S24,Electronics,24749975,2,0,0,49499950,Hải Phòng,Online,Cash,Completed,REP002
7A5DC51E-7E5,2026-06-15,11:59:59,iPhone 15 Pro,Electronics,26858109,4,20,21486487,85945949,Huế,Online,Cash,Completed,REP009
91AD8D1E-3F4,2026-03-10,09:10:39,Tủ lạnh LG 300L,Appliances,9846223,5,5,2461555,46769560,Biên Hòa,Mobile App,Bank Transfer,Completed,REP011
7501937F-7A9,2026-05-14,13:39:57,Tai nghe Sony WH-1000XM5,Electronics,9784050,4,15,5870430,33265770,Biên Hòa,In-Store,Cash,Pending,REP018
96A9ED09-8A0,2025-09-14,17:57:48,Bàn làm việc gỗ,Furniture,2597675,5,5,649418,12338957,Đà Nẵng,Mobile App,COD,Completed,REP011
822C3892-445,2026-03-27,15:22:07,Samsung Galaxy S24,Electronics,18203343,3,0,0,54610029,Quy Nhơn,Online,COD,Cancelled,REP010
D5EB58A7-C1B,2025-10-24,22:20:07,Sách kinh doanh khởi nghiệp,Books,207364,2,15,62209,352519,Hà Nội,Mobile App,COD,Pending,REP002
032117B6-643,2026-02-26,11:59:09,Máy giặt Samsung 9kg,Appliances,10938012,3,10,3281403,29532633,Biên Hòa,Reseller,COD,Cancelled,REP011
A5F8819C-2E2,2026-06-25,03:33:26,Mỹ phẩm Innisfree,Beauty,345421,1,0,0,345421,Cần Thơ,Mobile App,Credit Card,Cancelled,REP017
DCA1B144-674,2026-04-21,15:59:38,Ghế văn phòng ergonomic,Furniture,3610356,2,0,0,7220712,Đà Nẵng,Mobile App,E-Wallet,Completed,REP018
35FC9AB2-FF8,2026-01-30,10:42:32,Ghế văn phòng ergonomic,Furniture,3943315,5,15,2957486,16759089,Nha Trang,Mobile App,Credit Card,Completed,REP014
9C227A55-364,2025-09-22,09:10:37,Laptop Dell XPS 15,Electronics,37940432,2,10,7588086,68292778,Hải Phòng,Reseller,E-Wallet,Completed,REP017
1410AFD2-DC5,2026-02-19,02:58:27,iPhone 15 Pro,Electronics,32475593,5,5,8118898,154259067,Quy Nhơn,Reseller,COD,Cancelled,REP019
5FF9D8F3-10E,2025-12-31,16:36:11,Samsung Galaxy S24,Electronics,23547817,1,10,2354781,21193036,Biên Hòa,Reseller,E-Wallet,Completed,REP010
9327459E-644,2025-10-05,19:56:13,Laptop Dell XPS 15,Electronics,28301254,1,20,5660250,22641004,Biên Hòa,In-Store,E-Wallet,Cancelled,REP017
DDF466E7-1D0,2026-01-18,14:31:17,Áo thun nam Uniqlo,Clothing,532111,2,0,0,1064222,Cần Thơ,Mobile App,Credit Card,Pending,REP016
0A1E95C0-446,2025-10-10,17:43:47,Giày Adidas Ultraboost,Footwear,4091152,3,0,0,12273456,Biên Hòa,In-Store,Credit Card,Completed,REP017
D264BBF7-D0A,2026-04-19,06:02:54,iPhone 15 Pro,Electronics,29868657,3,0,0,89605971,Cần Thơ,Online,Credit Card,Cancelled,REP004
CD7DE53A-4C1,2025-11-13,05:27:08,Tủ lạnh LG 300L,Appliances,11229136,4,0,0,44916544,Nha Trang,In-Store,Cash,Cancelled,REP012
46C64B49-278,2026-06-21,16:58:57,Sách lập trình Python,Books,222035,5,10,111017,999158,Nha Trang,In-Store,Bank Transfer,Completed,REP012
95F5E967-5C7,2026-05-05,09:32:11,Sách kinh doanh khởi nghiệp,Books,188304,3,0,0,564912,Cần Thơ,In-Store,E-Wallet,Completed,REP015
B0CC880A-DBF,2026-02-27,07:08:43,Váy nữ form A,Clothing,643940,1,20,128788,515152,TP. Hồ Chí Minh,Reseller,Credit Card,Completed,REP003
1A7AEC9B-89C,2025-10-25,15:52:00,Sách lập trình Python,Books,246985,2,10,49397,444573,Nha Trang,Reseller,E-Wallet,Completed,REP016
CF4E85E2-BB2,2026-02-05,04:17:00,Samsung Galaxy S24,Electronics,23410048,1,0,0,23410048,Hải Phòng,In-Store,Bank Transfer,Completed,REP015
82174A26-278,2026-03-14,21:32:08,Sách lập trình Python,Books,225743,2,0,0,451486,Hà Nội,Reseller,Bank Transfer,Pending,REP014
12534062-86D,2025-09-15,10:04:51,Samsung Galaxy S24,Electronics,22532494,5,0,0,112662470,Đà Nẵng,Online,Cash,Pending,REP018
